Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),WEST ZONE:Zone Windows Total Heat Gain Rate [W](TimeStep),WEST ZONE:Zone Windows Total Heat Loss Rate [W](TimeStep),EAST ZONE:Zone Windows Total Heat Gain Rate [W](TimeStep),EAST ZONE:Zone Windows Total Heat Loss Rate [W](TimeStep),NORTH ZONE:Zone Windows Total Heat Gain Rate [W](TimeStep),NORTH ZONE:Zone Windows Total Heat Loss Rate [W](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Beam Solar Incident Angle Cosine Value [](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:WIN001:Surface Window System Solar Transmittance [](TimeStep),ZN001:WALL001:WIN001:Surface Window System Solar Reflectance [](TimeStep),ZN001:WALL001:WIN001:Surface Window System Solar Absorptance [](TimeStep),ZN001:WALL001:WIN001:Surface Shading Device Is On Time Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Window Blind Slat Angle [deg](TimeStep),WEST ZONE:Zone Mean Radiant Temperature [C](TimeStep),EAST ZONE:Zone Mean Radiant Temperature [C](TimeStep),NORTH ZONE:Zone Mean Radiant Temperature [C](TimeStep),WEST ZONE:Zone Mean Air Temperature [C](TimeStep),EAST ZONE:Zone Mean Air Temperature [C](TimeStep),NORTH ZONE:Zone Mean Air Temperature [C](TimeStep),WEST ZONE:Zone Air System Sensible Heating Rate [W](TimeStep),WEST ZONE:Zone Air System Sensible Cooling Rate [W](TimeStep),WEST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE:Zone Air Humidity Ratio [](TimeStep),EAST ZONE:Zone Air System Sensible Heating Rate [W](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Humidity Ratio [](TimeStep),NORTH ZONE:Zone Air System Sensible Heating Rate [W](TimeStep),NORTH ZONE:Zone Air Temperature [C](TimeStep),NORTH ZONE:Zone Air Humidity Ratio [](TimeStep),WEST ZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),EAST ZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),NORTH ZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PMV [](TimeStep),SHADE_ANGLE_SCHEDULE:Schedule Value [](TimeStep) 
 06/19  00:06:00,23.4,0.0,267.202387557376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9562520522826,27.8365749672651,27.991610462311,27.9865422710945,28.2186773316572,28.2590014030336,0.0,0.0,27.9865422710945,9.000000688362266E-003,0.0,28.2186773316572,9.000001918967314E-003,0.0,28.2590014030336,9.000003071596954E-003,1.36235744661684,1.37016596601539,1.39087338469273,90. 
 06/19  00:12:00,22.4,0.0,304.357150782992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8952538169487,27.8174260977307,27.9698833989679,27.9162798124504,28.2003831303049,28.2352838823827,0.0,0.0,27.9162798124504,9.000000688362266E-003,0.0,28.2003831303049,9.000001918967316E-003,0.0,28.2352838823827,9.000003071596954E-003,1.35130273345832,1.36652532134339,1.38644894175884,90. 
 06/19  00:18:00,21.4,0.0,340.131699949139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8339083398186,27.7981372625076,27.9480034698641,27.8311780283983,28.181510498905,28.2112689281764,0.0,0.0,27.8311780283983,9.000000688362266E-003,0.0,28.181510498905,9.000001918967316E-003,0.0,28.2112689281764,9.000003071596955E-003,1.33821968385238,1.36455039473053,1.38197600311662,90. 
 06/19  00:24:00,20.4,0.0,374.488966112947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7722895858358,27.7786135033081,27.9258715387545,27.7374487712045,28.1620763959165,28.1869429009898,0.0,0.0,27.7374487712045,9.000000688362268E-003,0.0,28.1620763959165,9.000001918967316E-003,0.0,28.1869429009898,9.000003071596955E-003,1.32353583322701,1.36083364710341,1.37744734046029,90. 
 06/19  00:30:00,19.4,0.0,407.428284921134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7104416665032,27.7587246719233,27.9033510771342,27.6414296094163,28.1420598600389,28.1622484665394,0.0,0.0,27.6414296094163,9.000000688362269E-003,0.0,28.1420598600389,9.000001918967316E-003,0.0,28.1622484665394,9.000003071596955E-003,1.30791499704633,1.35702147915346,1.37284911163992,90. 
 06/19  00:36:00,18.4,0.0,438.95842154311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6484599666051,27.7383217074519,27.8802870952153,27.5470627769466,28.1213896098735,28.137084740325,0.0,0.0,27.5470627769466,9.000000688362269E-003,0.0,28.1213896098735,9.000001918967316E-003,0.0,28.137084740325,9.000003071596954E-003,1.29203950479647,1.35309812009541,1.3681609365439,90. 
 06/19  00:42:00,17.4,0.0,465.414780069038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5898864344003,27.7172459133858,27.8565162453335,27.4574261541488,28.0999522586141,28.1113160918123,0.0,0.0,27.4574261541488,9.000000688362269E-003,0.0,28.0999522586141,9.000001918967314E-003,0.0,28.1113160918123,9.000003071596954E-003,1.27666081836058,1.34904131837646,1.36335682624758,90. 
 06/19  00:48:00,16.4,0.0,495.718990803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5265605275854,27.6953353944522,27.8318729189184,27.3709767599535,28.0776059846429,28.0847828613342,0.0,0.0,27.3709767599535,9.000000688362269E-003,0.0,28.0776059846429,9.000001918967316E-003,0.0,28.0847828613342,9.000003071596955E-003,1.26134039491689,1.34482383992575,1.3584067170802,90. 
 06/19  00:54:00,15.4,0.0,524.87519809205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4628978910074,27.672431504803,27.8061952442742,27.2860976913204,28.0541921253527,28.0573104358737,0.0,0.0,27.2860976913204,9.000000688362269E-003,0.0,28.0541921253527,9.000001918967316E-003,0.0,28.0573104358737,9.000003071596955E-003,1.24632898189361,1.34041557665401,1.35327820914992,90. 
 06/19  01:00:00,14.4,0.0,552.876186348174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3988588319865,27.6483854322642,27.7793313240031,27.202172731405,28.029543440947,28.0287161254588,0.0,0.0,27.202172731405,9.000000688362268E-003,0.0,28.029543440947,9.000001918967314E-003,0.0,28.0287161254588,9.000003071596955E-003,1.23145106088799,1.33578543495692,1.34793814287366,90. 
